unidade;ano;mes;media_permanencia
CHPB;2025;1;50,92857142857143
CHPB;2025;2;50,44186046511628
CHPB;2025;3;49,48979591836735
CHPB;2025;4;37,15094339622642
CHPB;2025;5;41,97872340425532
CHPB;2025;6;39,14545454545455
CHPB;2025;7;47,07142857142857
CHPB;2025;8;45,47826086956522
CHPB;2025;9;60,9
CHPB;2025;10;48,23255813953488
CHPB;2025;11;60,121212121212125
CSSFA;2025;1;55,666666666666664
CSSFA;2025;2;56,35294117647059
CSSFA;2025;3;92,15384615384616
CSSFA;2025;4;62,611111111111114
CSSFA;2025;5;69,36842105263158
CSSFA;2025;6;83,05882352941177
CSSFA;2025;7;75,1
CSSFA;2025;8;53,46153846153846
CSSFA;2025;9;82,93333333333334
CSSFA;2025;10;75,0
CSSFA;2025;11;57,21052631578947
CSSI;2025;1;19,485714285714284
CSSI;2025;2;19,38235294117647
CSSI;2025;3;15,804878048780488
CSSI;2025;4;18,25
CSSI;2025;5;20,60655737704918
CSSI;2025;6;21,044117647058822
CSSI;2025;7;21,33823529411765
CSSI;2025;8;18,942857142857143
CSSI;2025;9;20,880597014925375
CSSI;2025;10;21,112676056338028
CSSI;2025;11;22,158730158730158
HAC;2025;1;6,977987421383648
HAC;2025;2;7,618181818181818
HAC;2025;3;7,464396284829721
HAC;2025;4;7,23404255319149
HAC;2025;5;7,265243902439025
HAC;2025;6;7,6568627450980395
HAC;2025;7;7,512269938650307
HAC;2025;8;7,762057877813505
HAC;2025;9;7,712903225806452
HAC;2025;10;7,262536873156342
HAC;2025;11;7,690789473684211
HCM;2025;1;252,5
HCM;2025;2;95,2
HCM;2025;3;150,42857142857142
HCM;2025;4;106,7
HCM;2025;5;206,16666666666666
HCM;2025;6;180,85714285714286
HCM;2025;7;113,66666666666667
HCM;2025;8;159,22222222222223
HCM;2025;9;66,0
HCM;2025;10;109,25
HCM;2025;11;48,03703703703704
HEM;2025;1;14,846153846153847
HEM;2025;2;13,902255639097744
HEM;2025;3;14,284810126582279
HEM;2025;4;12,819767441860465
HEM;2025;5;13,00561797752809
HEM;2025;6;13,641176470588235
HEM;2025;7;12,86413043478261
HEM;2025;8;14,787878787878787
HEM;2025;9;12,206521739130435
HEM;2025;10;11,25257731958763
HEM;2025;11;13,777777777777779
HIJPII;2025;1;7,47093023255814
HIJPII;2025;2;6,459537572254336
HIJPII;2025;3;6,648888888888889
HIJPII;2025;4;6,434137291280148
HIJPII;2025;5;6,72887323943662
HIJPII;2025;6;6,286282306163022
HIJPII;2025;7;6,827676240208877
HIJPII;2025;8;7,93730407523511
HIJPII;2025;9;7,664451827242525
HIJPII;2025;10;7,5
HIJPII;2025;11;7,232758620689655
HJK;2025;1;7,983606557377049
HJK;2025;2;7,866255144032922
HJK;2025;3;7,72579185520362
HJK;2025;4;7,708728652751423
HJK;2025;5;8,543374642516683
HJK;2025;6;8,49232245681382
HJK;2025;7;8,198729582577133
HJK;2025;8;8,247242647058824
HJK;2025;9;8,133456904541243
HJK;2025;10;7,861594867094409
HJK;2025;11;8,417085427135678
HJXXIII;2025;1;7,963699222126189
HJXXIII;2025;2;8,145875251509054
HJXXIII;2025;3;8,396003633060854
HJXXIII;2025;4;7,948542024013722
HJXXIII;2025;5;8,070219966159053
HJXXIII;2025;6;8,080560420315237
HJXXIII;2025;7;8,035928143712574
HJXXIII;2025;8;7,7825
HJXXIII;2025;9;7,852488687782805
HJXXIII;2025;10;7,718518518518518
HJXXIII;2025;11;8,349561830574489
HMAL;2025;1;6,488188976377953
HMAL;2025;2;5,854838709677419
HMAL;2025;3;4,625
HMAL;2025;4;8,863636363636363
HMAL;2025;5;5,44
HMAL;2025;6;6,144927536231884
HMAL;2025;7;5,7125
HMAL;2025;8;6,633802816901408
HMAL;2025;9;8,568627450980392
HMAL;2025;10;6,75
HMAL;2025;11;5,434782608695652
HRAD;2025;1;5,734992679355783
HRAD;2025;2;5,854337152209492
HRAD;2025;3;5,630276564774381
HRAD;2025;4;5,4924924924924925
HRAD;2025;5;6,048513302034428
HRAD;2025;6;5,886676875957121
HRAD;2025;7;5,509687034277198
HRAD;2025;8;6,230894308943089
HRAD;2025;9;5,154166666666667
HRAD;2025;10;5,330409356725146
HRAD;2025;11;5,221745350500715
HRBJA;2025;1;7,631944444444445
HRBJA;2025;2;8,020746887966805
HRBJA;2025;3;8,66789667896679
HRBJA;2025;4;8,423220973782772
HRBJA;2025;5;8,01056338028169
HRBJA;2025;6;8,474264705882353
HRBJA;2025;7;8,113013698630137
HRBJA;2025;8;9,047272727272727
HRBJA;2025;9;9,62753036437247
HRBJA;2025;10;9,526748971193415
HRBJA;2025;11;9,024291497975709
HRJP;2025;1;7,465714285714285
HRJP;2025;2;8,595505617977528
HRJP;2025;3;8,030237580993521
HRJP;2025;4;7,912854030501089
